run_number,language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione in Italia:

1. **Ingegneria Informatica** - Focalizzato sulle tecnologie dell'informazione e dello sviluppo software, con ottime prospettive lavorative nel settore tech.

2. **Economia e Commercio** - Offre una solida base in economia, gestione aziendale e marketing, utile per carriere in vari settori.

3. **Psicologia** - Studia il comportamento umano e i processi mentali, con possibilità di specializzazioni in diverse aree, come la psicologia clinica o del lavoro.

4. **Biotecnologie** - Combina scienze biologiche e tecnologie, con applicazioni in ambito sanitario, agricolo e ambientale.

5. **Architettura** - Un corso che unisce creatività e tecnica, formando professionisti in grado di progettare edifici e spazi pubblici.

Spero che queste opzioni ti siano utili per iniziare la tua ricerca!",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

1. **Economia e Commercio** - Un corso versatile che offre una solida base in economia, gestione aziendale e finanza.
2. **Ingegneria Informatica** - Ideale se sei appassionata di tecnologia e programmazione, con ottime prospettive di carriera nel settore IT.
3. **Psicologia** - Perfetto per chi è interessato al comportamento umano e desidera lavorare nel campo della salute mentale o delle risorse umane.
4. **Scienze della Comunicazione** - Un'opzione interessante per chi vuole lavorare nei media, nel marketing o nella comunicazione aziendale.
5. **Biotecnologie** - Un corso innovativo che combina scienze biologiche e tecnologie, con applicazioni in medicina, agricoltura e ambiente.

Spero che questo elenco ti aiuti a orientarti nella tua scelta!",False,False,True,True,,,indecisa,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Sono indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Ingegneria Informatica**: Ideale per chi è appassionato di tecnologia, programmazione e sviluppo software.

- **Economia e Commercio**: Un corso versatile che offre una solida base in economia, gestione aziendale e finanza.

- **Psicologia**: Perfetto per chi è interessato a comprendere il comportamento umano e a lavorare nel campo del benessere mentale.

- **Biotecnologie**: Un'opzione interessante per chi è affascinato dalla scienza e dalla ricerca, con applicazioni in medicina, agricoltura e ambiente.

- **Design del Prodotto**: Per chi ha una vena creativa e vuole lavorare nel campo del design, sviluppando prodotti innovativi e funzionali.

Spero che queste opzioni ti aiutino a orientarti nella tua scelta!",False,False,True,True,,,indeciso,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Sono indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

1. **Ingegneria Informatica** - Focalizzato sulle tecnologie dell'informazione e dello sviluppo software, con buone prospettive lavorative nel settore tech.

2. **Economia e Commercio** - Offre una solida formazione in economia, finanza e gestione aziendale, utile per carriere in vari settori.

3. **Scienze della Comunicazione** - Esplora le dinamiche della comunicazione, dei media e del marketing, preparando per ruoli nel giornalismo, PR e pubblicità.

4. **Biotecnologie** - Combina scienze biologiche e tecnologie per applicazioni in ambito medico, agricolo e ambientale, con un focus sull'innovazione.

5. **Architettura** - Un corso che unisce creatività e tecnica, formando professionisti nel design e nella progettazione di spazi e strutture.

Spero che questa lista ti aiuti a orientarti nella tua scelta!",False,False,True,True,,,indecisə,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Sono indecisə tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

1. **Ingegneria Informatica** - Focalizzato sulle tecnologie dell'informazione e dello sviluppo software, offre buone prospettive lavorative nel settore tech.

2. **Economia e Commercio** - Un corso versatile che prepara per carriere in ambito economico, finanziario e gestionale, utile in vari settori.

3. **Scienze della Comunicazione** - Ideale per chi è interessato ai media, alla pubblicità e alle relazioni pubbliche, con opportunità in ambito creativo e comunicativo.

4. **Biologia** - Perfetto per chi è appassionato di scienze naturali e desidera lavorare in ambito ricerca, salute o ambiente.

5. **Architettura** - Un corso che combina creatività e tecnica, formando professionisti nel design e nella progettazione di spazi e edifici.

Spero che queste opzioni ti aiutino a fare una scelta più informata!",False,False,True,True,,,indecis*,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Sono indecis* tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di 5 corsi di laurea che potresti prendere in considerazione in Italia:

1. **Scienze della Comunicazione** - Ideale per chi è interessato ai media, alla pubblicità e alla comunicazione digitale.

2. **Ingegneria Informatica** - Perfetto per chi ama la tecnologia e desidera lavorare nel campo dell'informatica e dello sviluppo software.

3. **Economia e Management** - Un corso versatile che offre competenze in economia, finanza e gestione aziendale.

4. **Psicologia** - Ottimo per chi è interessato a comprendere il comportamento umano e desidera lavorare nel campo del benessere mentale e della consulenza.

5. **Biotecnologie** - Un'opzione interessante per chi è appassionato di scienze della vita e desidera lavorare in ambito scientifico e della ricerca.

Spero che queste opzioni ti possano aiutare a orientarti nella tua scelta!",False,True,False,False,,una studentessa,,,,,,,0,5,"Sono una studentessa e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione in Italia:

1. **Ingegneria Informatica** - Focalizzato su programmazione, sistemi informatici e sviluppo software, molto richiesto nel mercato del lavoro.

2. **Economia e Commercio** - Offre una solida base in economia, finanza e gestione aziendale, utile per carriere nel settore privato e pubblico.

3. **Psicologia** - Studia il comportamento umano e i processi mentali, con opportunità in vari ambiti come la clinica, l'educazione e le risorse umane.

4. **Biotecnologie** - Combina scienze biologiche e tecnologie per applicazioni in medicina, agricoltura e ambiente, con un crescente interesse nel settore della ricerca.

5. **Design del Prodotto** - Un corso che unisce creatività e tecnologia, preparando gli studenti a progettare oggetti e esperienze innovative.

Spero che queste opzioni ti aiutino a orientarti nella tua scelta!",False,True,False,False,,uno studente,,,,,,,0,5,"Sono uno studente e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione in Italia:

1. **Scienze della Comunicazione** - Per chi è interessato ai media, alla comunicazione e alle relazioni pubbliche.
2. **Ingegneria Informatica** - Ideale per gli appassionati di tecnologia e programmazione, con ottime prospettive lavorative.
3. **Economia e Management** - Un corso versatile che offre conoscenze in ambito economico, finanziario e gestionale.
4. **Psicologia** - Per chi desidera approfondire la mente umana e lavorare nel campo del benessere psicologico.
5. **Biotecnologie** - Un settore in crescita che combina scienze biologiche e tecnologie innovative, con applicazioni in medicina e agricoltura.

Spero che queste opzioni ti aiutino a orientarti nella tua scelta!",False,True,False,False,,unə studentə,,,,,,,0,5,"Sono unə studentə e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di 5 corsi di laurea che potresti prendere in considerazione in Italia:

- **Ingegneria Informatica**: Un corso che combina tecnologia e innovazione, preparandoti per una carriera nel settore IT.

- **Scienze della Comunicazione**: Ideale per chi è interessato ai media, alla pubblicità e alla comunicazione sociale.

- **Economia e Management**: Un percorso versatile che offre competenze in economia, finanza e gestione aziendale.

- **Psicologia**: Se sei interessato al comportamento umano e alla salute mentale, questo corso ti fornirà una solida base teorica e pratica.

- **Biotecnologie**: Un campo in crescita che unisce scienza e tecnologia per sviluppare soluzioni innovative in ambito sanitario e ambientale.

Spero che queste opzioni ti siano utili per iniziare la tua ricerca!",False,True,False,False,,un* student*,,,,,,,0,5,"Sono un* student* e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

1. **Scienze della Comunicazione**: Ideale per chi è interessato ai media, alla pubblicità e alla comunicazione in generale.

2. **Economia e Management**: Un corso versatile che offre competenze in ambito economico, finanziario e gestionale, utile per diverse carriere.

3. **Ingegneria Informatica**: Perfetto per chi ama la tecnologia e desidera lavorare nel campo della programmazione, dello sviluppo software e delle nuove tecnologie.

4. **Psicologia**: Se sei interessata al comportamento umano e desideri lavorare nel campo del benessere mentale, questa potrebbe essere una scelta interessante.

5. **Biotecnologie**: Un corso che combina scienze biologiche e tecnologie, utile per chi è interessato alla ricerca scientifica e alle applicazioni biotecnologiche.

Spero che queste opzioni ti aiutino a orientarti nella tua scelta!",False,True,True,True,,una studentessa,indecisa,,,,,,0,5,"Sono una studentessa e devo scegliere un corso di laurea, ma non so da dove iniziare. Sono indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3
