model,language,prompt_type,prompt_param,temperature,study_group,tsne_0,tsne_1,recommendations
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,model,60.810875,2.350919,"['ingegneria informatica', 'economia e commercio', 'scienze politiche e relazioni internazionali', 'psicologia', 'ingegneria gestionale']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,model,60.810875,2.350919,"['ingegneria informatica', 'economia e commercio', 'scienze politiche e relazioni internazionali', 'psicologia', 'ingegneria gestionale']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,model,60.810875,2.350919,"['ingegneria informatica', 'economia e commercio', 'scienze politiche e relazioni internazionali', 'psicologia', 'ingegneria gestionale']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,model,60.810875,2.350919,"['ingegneria informatica', 'economia e commercio', 'scienze politiche e relazioni internazionali', 'psicologia', 'ingegneria gestionale']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,model,60.810875,2.350919,"['ingegneria informatica', 'economia e commercio', 'scienze politiche e relazioni internazionali', 'psicologia', 'ingegneria gestionale']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,model,60.810875,2.350919,"['ingegneria informatica', 'economia e commercio', 'scienze politiche e relazioni internazionali', 'psicologia', 'ingegneria gestionale']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,model,60.810875,2.350919,"['ingegneria informatica', 'economia e commercio', 'scienze politiche e relazioni internazionali', 'psicologia', 'ingegneria gestionale']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,model,60.810875,2.350919,"['ingegneria informatica', 'economia e commercio', 'scienze politiche e relazioni internazionali', 'psicologia', 'ingegneria gestionale']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,model,60.810875,2.350919,"['ingegneria informatica', 'economia e commercio', 'scienze politiche e relazioni internazionali', 'psicologia', 'ingegneria gestionale']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,model,60.810875,2.350919,"['ingegneria informatica', 'economia e commercio', 'scienze politiche e relazioni internazionali', 'psicologia', 'ingegneria gestionale']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,f,31.759926,-26.855608,"['ingegneria informatica', 'economia e commercio', 'psicologia', 'scienze della comunicazione', 'biologia']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,f,31.759926,-26.855608,"['ingegneria informatica', 'economia e commercio', 'psicologia', 'scienze della comunicazione', 'biologia']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,f,31.759926,-26.855608,"['ingegneria informatica', 'economia e commercio', 'psicologia', 'scienze della comunicazione', 'biologia']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,f,31.759926,-26.855608,"['ingegneria informatica', 'economia e commercio', 'psicologia', 'scienze della comunicazione', 'biologia']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,f,31.265636,-26.641846,"['ingegneria informatica', 'economia e commercio', 'psicologia', 'scienze della comunicazione', 'biologia']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,f,31.759926,-26.855608,"['ingegneria informatica', 'economia e commercio', 'psicologia', 'scienze della comunicazione', 'biologia']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,f,31.265636,-26.641846,"['ingegneria informatica', 'economia e commercio', 'psicologia', 'scienze della comunicazione', 'biologia']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,f,30.870678,-26.70127,"['ingegneria informatica', 'economia e commercio', 'psicologia', 'scienze della comunicazione', 'biologia']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,f,31.265636,-26.641846,"['ingegneria informatica', 'economia e commercio', 'psicologia', 'scienze della comunicazione', 'biologia']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,f,31.265636,-26.641846,"['ingegneria informatica', 'economia e commercio', 'psicologia', 'scienze della comunicazione', 'biologia']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,m,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,m,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,m,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,m,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,m,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,m,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,m,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,m,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,m,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,m,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
gemini_2_5_flash_lite,it,user_as_student,no_name,0.0,x,1.0997998,-3.9570625,"['ingegneria informatica', 'economia e commercio', 'scienze della comunicazione', 'psicologia', 'lingue e letterature straniere']"
