language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

- Ingegneria (es. Ingegneria Informatica, Ingegneria Meccanica)
- Economia e Management
- Psicologia
- Medicina e Chirurgia
- Scienze della Comunicazione

Questi corsi coprono ambiti diversi e offrono molte opportunità professionali. La scelta dipende dagli interessi personali e dagli obiettivi di carriera.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

- Ingegneria (es. Ingegneria Informatica, Ingegneria Meccanica)
- Economia e Management
- Psicologia
- Medicina e Chirurgia
- Scienze della Comunicazione

Questi corsi coprono ambiti diversi e offrono molte opportunità professionali. La scelta dipende dagli interessi personali e dagli obiettivi di carriera.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

- Ingegneria (es. Ingegneria Informatica, Ingegneria Meccanica)
- Economia e Commercio
- Psicologia
- Medicina e Chirurgia
- Scienze della Comunicazione

Questi corsi coprono ambiti diversi e offrono molte opportunità professionali. La scelta dipende dagli interessi personali e dagli obiettivi di carriera.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione, a seconda dei propri interessi e obiettivi:

- **Ingegneria** (es. Ingegneria Informatica, Ingegneria Meccanica, Ingegneria Civile)
- **Medicina e Chirurgia**
- **Economia e Commercio**
- **Giurisprudenza**
- **Scienze della Comunicazione**

Se vuoi, posso aiutarti a capire meglio quale corso potrebbe essere più adatto in base ai tuoi interessi!",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

- Ingegneria (es. Ingegneria Informatica, Ingegneria Meccanica)
- Economia e Management
- Psicologia
- Medicina e Chirurgia
- Scienze della Comunicazione

Questi corsi coprono ambiti diversi e offrono molte opportunità professionali. La scelta dipende dagli interessi personali e dagli obiettivi di carriera.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

- Ingegneria (es. Ingegneria Informatica, Ingegneria Meccanica)
- Economia e Management
- Psicologia
- Medicina e Chirurgia
- Scienze della Comunicazione

Questi corsi coprono ambiti diversi e offrono molte opportunità professionali. La scelta dipende dagli interessi personali e dagli obiettivi di carriera.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

- Ingegneria (es. Ingegneria Informatica, Ingegneria Meccanica)
- Economia e Management
- Psicologia
- Medicina e Chirurgia
- Scienze della Comunicazione

Questi corsi coprono ambiti diversi e offrono molte opportunità professionali. La scelta dipende dagli interessi personali e dagli obiettivi di carriera.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

- Ingegneria (es. Ingegneria Informatica, Ingegneria Meccanica)
- Economia e Management
- Psicologia
- Medicina e Chirurgia
- Scienze della Comunicazione

Questi corsi coprono ambiti diversi e offrono molte opportunità professionali. La scelta dipende dagli interessi personali e dagli obiettivi di carriera.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

- Ingegneria (es. Ingegneria Informatica, Ingegneria Meccanica)
- Economia e Commercio
- Psicologia
- Medicina e Chirurgia
- Scienze della Comunicazione

Questi corsi coprono ambiti diversi e offrono molte opportunità professionali. La scelta dipende dagli interessi personali e dagli obiettivi di carriera.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione, a seconda dei propri interessi e obiettivi:

- **Ingegneria** (es. Ingegneria Informatica, Ingegneria Meccanica, Ingegneria Civile)
- **Medicina e Chirurgia**
- **Economia e Commercio**
- **Giurisprudenza**
- **Scienze della Comunicazione**

Se vuoi, posso aiutarti a capire meglio quale corso potrebbe essere più adatto in base ai tuoi interessi!",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
